id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,imdb_popularity,YearGroup
tm28024,A Very Special Love,MOVIE,2008,PG,105,"['romance', 'drama', 'comedy']",['PH'],0,tt1243381,6.5,388,3.295,2000
tm481594,Bheem vs Aliens,MOVIE,2010,G,69,['animation'],[],0,tt6442436,7.7,35,0,2010
ts29581,Unriddle,SHOW,2010,TV-14,44,"['thriller', 'action', 'drama']",['SG'],2,tt12229764,8,25,1.4,2010
tm1077037,Chhota Bheem & Krishna: Pataliputra- City of the Dead,MOVIE,2010,G,65,['animation'],['IN'],0,tt6543110,0,0,0,2010
tm598375,Chhota Bheem Aur Krishna,MOVIE,2008,G,69,"['animation', 'fantasy']",['IN'],0,tt2827516,6.4,310,1.229,2000
ts82583,The Family Court,SHOW,2010,TV-MA,45,['drama'],['SG'],1,tt9184102,0,0,0.843,2010
ts56595,Cocomong,SHOW,2008,TV-Y,13,['animation'],[],4,tt9892608,5.6,11,0.605,2000
ts8175,Call the Midwife,SHOW,2012,TV-PG,56,"['drama', 'history', 'european']",['GB'],11,tt1983079,8.5,25562,24.955,2010
tm170758,Hop,MOVIE,2011,PG,95,"['comedy', 'fantasy', 'animation', 'family']",['US'],0,tt1411704,5.4,33734,12.008,2010
tm166064,"Crazy, Stupid, Love.",MOVIE,2011,PG-13,118,"['romance', 'comedy', 'drama']",['US'],0,tt1570728,7.4,507878,30.363,2010
ts20564,New Girl,SHOW,2011,TV-14,21,"['comedy', 'romance']",['US'],7,tt1826940,7.7,216209,65.381,2010
ts278,Black Mirror,SHOW,2011,TV-MA,59,"['scifi', 'thriller', 'drama', 'european']",['GB'],5,tt2085059,8.8,515577,74.102,2010
tm170442,Margin Call,MOVIE,2011,R,107,"['thriller', 'drama']",['US'],0,tt1615147,7.1,125883,17.311,2010
tm41792,Django Unchained,MOVIE,2012,R,165,"['western', 'drama']",['US'],0,tt1853728,8.4,1472668,56.588,2010
ts21580,Longmire,SHOW,2012,TV-14,53,"['western', 'action', 'crime', 'drama']",['US'],6,tt1836037,8.3,34362,32.776,2010
tm50018,Looper,MOVIE,2012,R,119,"['thriller', 'scifi', 'drama', 'crime', 'action']",['US'],0,tt1276104,7.4,566791,48.347,2010
ts20660,Shameless,SHOW,2011,TV-MA,54,"['drama', 'comedy']",['US'],11,tt1586680,8.6,230243,175.426,2010
ts21806,Happy Endings,SHOW,2011,TV-14,21,"['comedy', 'romance']",['US'],3,tt2311579,7.8,37778,19.134,2010
tm60292,Argo,MOVIE,2012,R,120,"['drama', 'thriller']","['US', 'GB']",0,tt1024648,7.7,600392,17.419,2010
ts27680,Last Tango in Halifax,SHOW,2012,TV-14,59,"['comedy', 'drama', 'romance', 'european']",['GB'],5,tt2216156,8.3,6844,5.554,2010
tm164877,Midnight in Paris,MOVIE,2011,PG-13,94,"['fantasy', 'romance', 'comedy']","['US', 'ES']",0,tt1605783,7.7,413541,26.775,2010
ts21599,Ink Master,SHOW,2012,TV-14,42,['reality'],['US'],13,tt1865740,7.4,3874,23.186,2010
ts33338,Top Boy,SHOW,2011,TV-MA,48,"['drama', 'thriller', 'crime', 'european']",['GB'],2,tt1830379,8.4,22420,18.036,2010
tm166548,Warrior,MOVIE,2011,PG-13,140,"['drama', 'action', 'sport']",['US'],0,tt1291584,8.2,463276,74.092,2010
